country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Guatemala,,,,,,,,,,,,,,,0.113,,,,,,0.302,0.236,0.219,0.24,0.255,0.222,0.296,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,1.03,0.919,0.584,0.613,0.548,0.435,0.427,0.46,
Honduras,,,,,,,,,,,,,,,,0.251,0.242,0.148,0.214,0.163,0.254,0.534,0.319,0.102,0.32,0.392,0.46,0.181
Croatia,,,,,,,,,,,,,4.33,4.31,4.02,3.75,3.23,3.11,2.56,2.72,3.96,5.3,5.94,6.75,6.08,6.01,4.11,3.09
Hungary,,,2.53,3.73,3.6,3.83,3.77,3.13,3.11,2.46,2.39,2.02,1.97,1.9,1.88,2.25,2.32,2.34,2.5,3.17,4,3.62,3.79,3.48,2.64,2.32,1.8,1.29
Indonesia,,,,,,,,,,,1.58,1.35,1.46,1.4,1.52,2.15,1.94,2.04,2.54,2.05,1.86,1.61,1.37,1.36,1.29,1.56,0.949,0.864
Ireland,,,5.71,5.85,5.77,4.67,4.57,3.96,3.1,2.17,1.58,1.19,1.42,1.6,1.64,1.48,1.47,1.56,2.19,4.79,6.71,7.26,7.28,6.03,5.04,4.21,3.4,2.41
Iran,,,,,,,,,,,,,,,,,,,,3.05,3.34,,,,2.49,2.59,2.99,3.3
Iceland,,0.058,0.249,0.621,0.818,0.869,0.683,0.536,0.41,,,,0.364,0.47,0.799,0.277,0.322,0.219,0.16,1.15,1.99,1.69,1.33,1.04,0.851,0.494,0.319,0.354
Israel,,,,,,0.584,0.543,0.668,0.915,1.07,1.15,1.02,1.49,1.7,1.85,1.55,1.53,1.18,0.875,1.21,1.16,0.837,0.872,0.757,0.638,0.588,0.524,0.408
Italy,,,2.24,2.71,3.22,3.38,3.48,3.62,3.69,3.46,3.29,2.89,2.67,2.59,1.97,1.89,1.66,1.43,1.6,2.01,2.38,2.48,3.33,4.11,4.34,4.11,3.89,3.78
Japan,0.652,0.585,0.535,0.565,0.725,0.836,0.963,1.04,1.1,1.47,1.68,1.61,1.8,1.93,1.73,1.57,1.48,1.32,1.37,1.67,1.99,1.72,1.67,1.59,1.37,1.26,1.2,1.03
Kazakhstan,,,,,,,,,,,,,,,,,,,,1.1,0.91,0.681,0.829,0.803,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,1.18,1.16,1.05,1.11,1.87,1.86,1.59,1.7,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,0.153,,,,,
South Korea,0.236,0.236,0.253,0.336,0.349,0.24,0.233,0.288,0.721,0.838,0.455,0.373,0.329,0.263,0.295,0.293,0.27,0.297,0.219,0.251,0.201,0.177,0.198,0.172,0.184,0.238,0.32,0.368
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19
Liberia,,,,,,,,,,,,,,,,,,,,,0.459,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,1.3,1.22,1.02,0.995,1.06,1.02,,,
Lithuania,,,,,,,,,6.42,4.68,6.67,7.31,5.23,4.43,3.9,2.86,1.83,1.05,1.07,4.2,7.45,6.72,5.42,4.31,4.11,3.34,2.8,2.47
Luxembourg,,,0.374,0.537,0.952,0.531,0.643,0.634,0.567,0.564,0.379,0.434,0.4,0.766,0.855,0.964,0.953,0.988,0.989,1.04,0.866,1.15,1.25,1.37,1.47,1.61,1.81,1.54
Latvia,,,,,,,,,6.1,5.49,6,5.97,4.63,4.27,3.74,3.5,2.2,1.64,1.96,6.35,8.63,7.51,5.92,4.63,4.04,3.95,3.85,3.03
"Macao, China",,,,,,,,,,,,,,,,,,,,0.437,0.349,0.379,0.222,0.181,,0.243,0.306,
Morocco,,,,,,,,,,,,,,,,,,,,,,3.03,3.09,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,1.14,1.09,0.965,0.694,0.573,0.431,0.464,0.59,0.509
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,0.918,
Mexico,,,,,,0.18,0.179,0.091,0.0445,0.0459,0.0352,0.0347,0.0533,0.0534,0.0739,0.11,0.0858,0.0812,0.0872,0.17,0.185,0.162,0.144,0.137,0.149,0.113,0.113,0.0888
North Macedonia,,,,,,,,,,,,,,,,,16.8,16.8,16.5,15.6,15.9,15.7,15.5,14.3,13.9,13.3,12,10.7
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,1.56,
Malta,,,,,,,,,,,2.51,2.03,2.18,2.05,2.83,2.37,2.11,2,1.96,2.3,2.48,2.35,2.32,2.43,2.28,2,1.47,1.68
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,0.0924,,0.226
Montenegro,,,,,,,,,,,,,,,,,,,,,,7.32,7.73,8.02,7.16,7.11,7.48,6.36
Mongolia,,,,,,,,,,,,,,,,,,,1.87,1.79,2.59,1.71,1.31,1.39,1.75,1.75,3.03,2.62
